/raid/data/tang/venv/lib/python3.11/site-packages/torch/cuda/__init__.py:141: UserWarning: CUDA initialization: Unexpected error from cudaGetDeviceCount(). Did you run some cuda functions before calling NumCudaDevices() that might have already set an error? Error 804: forward compatibility was attempted on non supported HW (Triggered internally at ../c10/cuda/CUDAFunctions.cpp:108.)
  return torch._C._cuda_getDeviceCount() > 0
logits:tensor([[0.4768, 0.5364]]), confscore:tensor([[0.5232, 0.4636]])
logits:tensor([[0.7464, 0.2469]]), confscore:tensor([[0.2536, 0.7531]])
logits:tensor([[0.5906, 0.4234]]), confscore:tensor([[0.4094, 0.5766]])
logits:tensor([[0.7096, 0.2701]]), confscore:tensor([[0.2904, 0.7299]])
logits:tensor([[0.6585, 0.3201]]), confscore:tensor([[0.3415, 0.6799]])
logits:tensor([[0.8305, 0.1729]]), confscore:tensor([[0.1695, 0.8271]])
logits:tensor([[0.7123, 0.2993]]), confscore:tensor([[0.2877, 0.7007]])
logits:tensor([[0.7860, 0.2270]]), confscore:tensor([[0.2140, 0.7730]])
logits:tensor([[0.4867, 0.5363]]), confscore:tensor([[0.5133, 0.4637]])
logits:tensor([[0.7640, 0.2180]]), confscore:tensor([[0.2360, 0.7820]])
logits:tensor([[0.7619, 0.2269]]), confscore:tensor([[0.2381, 0.7731]])
logits:tensor([[0.7465, 0.2403]]), confscore:tensor([[0.2535, 0.7597]])
logits:tensor([[0.7902, 0.2094]]), confscore:tensor([[0.2098, 0.7906]])
logits:tensor([[0.7801, 0.1886]]), confscore:tensor([[0.2199, 0.8114]])
logits:tensor([[0.7560, 0.2315]]), confscore:tensor([[0.2440, 0.7685]])
logits:tensor([[0.8001, 0.1862]]), confscore:tensor([[0.1999, 0.8138]])
logits:tensor([[0.5029, 0.4631]]), confscore:tensor([[0.4971, 0.5369]])
logits:tensor([[0.8229, 0.2266]]), confscore:tensor([[0.1771, 0.7734]])
logits:tensor([[0.3292, 0.6707]]), confscore:tensor([[0.6708, 0.3293]])
logits:tensor([[0.1930, 0.8028]]), confscore:tensor([[0.8070, 0.1972]])
logits:tensor([[0.4236, 0.5491]]), confscore:tensor([[0.5764, 0.4509]])
logits:tensor([[0.7291, 0.2587]]), confscore:tensor([[0.2709, 0.7413]])
logits:tensor([[0.8731, 0.1244]]), confscore:tensor([[0.1269, 0.8756]])
logits:tensor([[0.4941, 0.5084]]), confscore:tensor([[0.5059, 0.4916]])
logits:tensor([[0.4571, 0.5497]]), confscore:tensor([[0.5429, 0.4503]])
logits:tensor([[0.7432, 0.2408]]), confscore:tensor([[0.2568, 0.7592]])
logits:tensor([[0.9006, 0.0993]]), confscore:tensor([[0.0994, 0.9007]])
logits:tensor([[0.8873, 0.1209]]), confscore:tensor([[0.1127, 0.8791]])
logits:tensor([[0.5903, 0.4353]]), confscore:tensor([[0.4097, 0.5647]])
logits:tensor([[0.5380, 0.4753]]), confscore:tensor([[0.4620, 0.5247]])
logits:tensor([[0.5325, 0.4190]]), confscore:tensor([[0.4675, 0.5810]])
logits:tensor([[0.3560, 0.7115]]), confscore:tensor([[0.6440, 0.2885]])
logits:tensor([[0.2525, 0.7348]]), confscore:tensor([[0.7475, 0.2652]])
logits:tensor([[0.6882, 0.2932]]), confscore:tensor([[0.3118, 0.7068]])
logits:tensor([[0.4716, 0.5087]]), confscore:tensor([[0.5284, 0.4913]])
logits:tensor([[0.3984, 0.6088]]), confscore:tensor([[0.6016, 0.3912]])
logits:tensor([[0.7267, 0.2454]]), confscore:tensor([[0.2733, 0.7546]])
logits:tensor([[0.1419, 0.8518]]), confscore:tensor([[0.8581, 0.1482]])
logits:tensor([[0.8365, 0.1838]]), confscore:tensor([[0.1635, 0.8162]])
logits:tensor([[0.4947, 0.5115]]), confscore:tensor([[0.5053, 0.4885]])
logits:tensor([[0.9213, 0.0847]]), confscore:tensor([[0.0787, 0.9153]])
logits:tensor([[0.5710, 0.3909]]), confscore:tensor([[0.4290, 0.6091]])
logits:tensor([[0.5333, 0.4681]]), confscore:tensor([[0.4667, 0.5319]])
logits:tensor([[0.6182, 0.4469]]), confscore:tensor([[0.3818, 0.5531]])
logits:tensor([[0.2771, 0.7106]]), confscore:tensor([[0.7229, 0.2894]])
logits:tensor([[0.4746, 0.4500]]), confscore:tensor([[0.5254, 0.5500]])
logits:tensor([[0.8977, 0.0984]]), confscore:tensor([[0.1023, 0.9016]])
logits:tensor([[0.6300, 0.3425]]), confscore:tensor([[0.3700, 0.6575]])
logits:tensor([[0.2868, 0.6927]]), confscore:tensor([[0.7132, 0.3073]])
logits:tensor([[0.3179, 0.7066]]), confscore:tensor([[0.6821, 0.2934]])
logits:tensor([[0.2707, 0.6859]]), confscore:tensor([[0.7293, 0.3141]])
logits:tensor([[0.8700, 0.1348]]), confscore:tensor([[0.1300, 0.8652]])
logits:tensor([[0.9236, 0.0858]]), confscore:tensor([[0.0764, 0.9142]])
logits:tensor([[0.1533, 0.8629]]), confscore:tensor([[0.8467, 0.1371]])
logits:tensor([[0.8342, 0.1866]]), confscore:tensor([[0.1658, 0.8134]])
logits:tensor([[0.7867, 0.1702]]), confscore:tensor([[0.2133, 0.8298]])
logits:tensor([[0.0828, 0.9204]]), confscore:tensor([[0.9172, 0.0796]])
logits:tensor([[0.1574, 0.8486]]), confscore:tensor([[0.8426, 0.1514]])
logits:tensor([[0.3393, 0.6345]]), confscore:tensor([[0.6607, 0.3655]])
logits:tensor([[0.4576, 0.5115]]), confscore:tensor([[0.5424, 0.4885]])
logits:tensor([[0.8404, 0.1579]]), confscore:tensor([[0.1596, 0.8421]])
logits:tensor([[0.5400, 0.4634]]), confscore:tensor([[0.4600, 0.5366]])
logits:tensor([[0.1899, 0.8138]]), confscore:tensor([[0.8101, 0.1862]])
logits:tensor([[0.8653, 0.1777]]), confscore:tensor([[0.1347, 0.8223]])
logits:tensor([[0.5493, 0.4595]]), confscore:tensor([[0.4507, 0.5405]])
logits:tensor([[0.8556, 0.1529]]), confscore:tensor([[0.1444, 0.8471]])
logits:tensor([[0.7155, 0.2792]]), confscore:tensor([[0.2845, 0.7208]])
logits:tensor([[0.7070, 0.2760]]), confscore:tensor([[0.2930, 0.7240]])
logits:tensor([[0.8729, 0.1163]]), confscore:tensor([[0.1271, 0.8837]])
logits:tensor([[0.7039, 0.2935]]), confscore:tensor([[0.2961, 0.7065]])
logits:tensor([[0.8081, 0.1759]]), confscore:tensor([[0.1919, 0.8241]])
logits:tensor([[0.8070, 0.1775]]), confscore:tensor([[0.1930, 0.8225]])
logits:tensor([[0.5483, 0.4291]]), confscore:tensor([[0.4517, 0.5709]])
logits:tensor([[0.7484, 0.2331]]), confscore:tensor([[0.2516, 0.7669]])
logits:tensor([[0.4416, 0.5104]]), confscore:tensor([[0.5584, 0.4896]])
logits:tensor([[0.7142, 0.3044]]), confscore:tensor([[0.2858, 0.6956]])
logits:tensor([[0.8917, 0.1010]]), confscore:tensor([[0.1083, 0.8990]])
logits:tensor([[0.7476, 0.2339]]), confscore:tensor([[0.2524, 0.7661]])
logits:tensor([[0.5199, 0.4726]]), confscore:tensor([[0.4801, 0.5274]])
logits:tensor([[0.8752, 0.1339]]), confscore:tensor([[0.1248, 0.8661]])
logits:tensor([[0.6990, 0.2929]]), confscore:tensor([[0.3010, 0.7071]])
logits:tensor([[0.8280, 0.1428]]), confscore:tensor([[0.1720, 0.8572]])
logits:tensor([[0.7942, 0.1925]]), confscore:tensor([[0.2058, 0.8075]])
logits:tensor([[0.8655, 0.1214]]), confscore:tensor([[0.1345, 0.8786]])
logits:tensor([[0.8584, 0.1455]]), confscore:tensor([[0.1416, 0.8545]])
logits:tensor([[0.5992, 0.3854]]), confscore:tensor([[0.4008, 0.6146]])
logits:tensor([[0.3597, 0.5926]]), confscore:tensor([[0.6403, 0.4074]])
logits:tensor([[0.3969, 0.5340]]), confscore:tensor([[0.6031, 0.4660]])
logits:tensor([[0.7339, 0.2793]]), confscore:tensor([[0.2661, 0.7207]])
logits:tensor([[0.6828, 0.3024]]), confscore:tensor([[0.3172, 0.6976]])
logits:tensor([[0.6136, 0.3965]]), confscore:tensor([[0.3864, 0.6035]])
logits:tensor([[0.2040, 0.7858]]), confscore:tensor([[0.7960, 0.2142]])
logits:tensor([[0.7447, 0.2510]]), confscore:tensor([[0.2553, 0.7490]])
logits:tensor([[0.6680, 0.3266]]), confscore:tensor([[0.3320, 0.6734]])
logits:tensor([[0.7768, 0.2021]]), confscore:tensor([[0.2232, 0.7979]])
logits:tensor([[0.8275, 0.1744]]), confscore:tensor([[0.1725, 0.8256]])
logits:tensor([[0.8440, 0.1561]]), confscore:tensor([[0.1560, 0.8439]])
logits:tensor([[0.6899, 0.2960]]), confscore:tensor([[0.3101, 0.7040]])
logits:tensor([[0.6194, 0.4089]]), confscore:tensor([[0.3806, 0.5911]])
logits:tensor([[0.1148, 0.8768]]), confscore:tensor([[0.8852, 0.1232]])
logits:tensor([[0.9587, 0.0445]]), confscore:tensor([[0.0413, 0.9555]])
logits:tensor([[0.7259, 0.2699]]), confscore:tensor([[0.2741, 0.7301]])
logits:tensor([[0.5347, 0.4452]]), confscore:tensor([[0.4653, 0.5548]])
logits:tensor([[0.3797, 0.6265]]), confscore:tensor([[0.6203, 0.3735]])
logits:tensor([[0.7290, 0.2578]]), confscore:tensor([[0.2710, 0.7422]])
logits:tensor([[0.6996, 0.3683]]), confscore:tensor([[0.3004, 0.6317]])
logits:tensor([[0.7638, 0.2504]]), confscore:tensor([[0.2362, 0.7496]])
logits:tensor([[0.7824, 0.2042]]), confscore:tensor([[0.2176, 0.7958]])
logits:tensor([[0.8834, 0.1084]]), confscore:tensor([[0.1166, 0.8916]])
logits:tensor([[0.7775, 0.2493]]), confscore:tensor([[0.2225, 0.7507]])
logits:tensor([[0.6488, 0.3282]]), confscore:tensor([[0.3512, 0.6718]])
logits:tensor([[0.5960, 0.4496]]), confscore:tensor([[0.4040, 0.5504]])
logits:tensor([[0.6030, 0.3960]]), confscore:tensor([[0.3970, 0.6040]])
logits:tensor([[0.1783, 0.8249]]), confscore:tensor([[0.8217, 0.1751]])
logits:tensor([[0.6418, 0.3712]]), confscore:tensor([[0.3582, 0.6288]])
logits:tensor([[0.8127, 0.1912]]), confscore:tensor([[0.1873, 0.8088]])
logits:tensor([[0.7482, 0.2407]]), confscore:tensor([[0.2518, 0.7593]])
logits:tensor([[0.5568, 0.4524]]), confscore:tensor([[0.4432, 0.5476]])
logits:tensor([[0.1347, 0.8797]]), confscore:tensor([[0.8653, 0.1203]])
logits:tensor([[0.8788, 0.1259]]), confscore:tensor([[0.1212, 0.8741]])
logits:tensor([[0.7859, 0.2206]]), confscore:tensor([[0.2141, 0.7794]])
logits:tensor([[0.6350, 0.3397]]), confscore:tensor([[0.3650, 0.6603]])
logits:tensor([[0.1882, 0.8071]]), confscore:tensor([[0.8118, 0.1929]])
logits:tensor([[0.6868, 0.3372]]), confscore:tensor([[0.3132, 0.6628]])
logits:tensor([[0.3796, 0.6132]]), confscore:tensor([[0.6204, 0.3868]])
logits:tensor([[0.7052, 0.2995]]), confscore:tensor([[0.2948, 0.7005]])
logits:tensor([[0.5395, 0.4340]]), confscore:tensor([[0.4605, 0.5660]])
logits:tensor([[0.9323, 0.0620]]), confscore:tensor([[0.0677, 0.9380]])
logits:tensor([[0.3703, 0.6583]]), confscore:tensor([[0.6297, 0.3417]])
logits:tensor([[0.6848, 0.3387]]), confscore:tensor([[0.3152, 0.6613]])
logits:tensor([[0.5010, 0.4646]]), confscore:tensor([[0.4990, 0.5354]])
logits:tensor([[0.9121, 0.0958]]), confscore:tensor([[0.0879, 0.9042]])
logits:tensor([[0.1628, 0.8371]]), confscore:tensor([[0.8372, 0.1629]])
logits:tensor([[0.5678, 0.3803]]), confscore:tensor([[0.4322, 0.6197]])
logits:tensor([[0.7295, 0.2470]]), confscore:tensor([[0.2705, 0.7530]])
logits:tensor([[0.7577, 0.2482]]), confscore:tensor([[0.2423, 0.7518]])
logits:tensor([[0.7791, 0.2164]]), confscore:tensor([[0.2209, 0.7836]])
logits:tensor([[0.5361, 0.4538]]), confscore:tensor([[0.4639, 0.5462]])
logits:tensor([[0.8129, 0.1817]]), confscore:tensor([[0.1871, 0.8183]])
logits:tensor([[0.8844, 0.1159]]), confscore:tensor([[0.1156, 0.8841]])
logits:tensor([[0.5249, 0.4934]]), confscore:tensor([[0.4751, 0.5066]])
logits:tensor([[0.7261, 0.2412]]), confscore:tensor([[0.2739, 0.7588]])
logits:tensor([[0.6048, 0.3948]]), confscore:tensor([[0.3952, 0.6052]])
logits:tensor([[0.5851, 0.4016]]), confscore:tensor([[0.4149, 0.5984]])
logits:tensor([[0.6755, 0.2938]]), confscore:tensor([[0.3245, 0.7062]])
logits:tensor([[0.1964, 0.7982]]), confscore:tensor([[0.8036, 0.2018]])
logits:tensor([[0.7622, 0.2482]]), confscore:tensor([[0.2378, 0.7518]])
logits:tensor([[0.6535, 0.3384]]), confscore:tensor([[0.3465, 0.6616]])
logits:tensor([[0.8700, 0.1394]]), confscore:tensor([[0.1300, 0.8606]])
logits:tensor([[0.8622, 0.1112]]), confscore:tensor([[0.1378, 0.8888]])
logits:tensor([[0.4808, 0.5569]]), confscore:tensor([[0.5192, 0.4431]])
logits:tensor([[0.8782, 0.1391]]), confscore:tensor([[0.1218, 0.8609]])
logits:tensor([[0.6986, 0.3589]]), confscore:tensor([[0.3014, 0.6411]])
logits:tensor([[0.2758, 0.7010]]), confscore:tensor([[0.7242, 0.2990]])
logits:tensor([[0.6952, 0.2897]]), confscore:tensor([[0.3048, 0.7103]])
logits:tensor([[0.3053, 0.7223]]), confscore:tensor([[0.6947, 0.2777]])
logits:tensor([[0.6681, 0.3357]]), confscore:tensor([[0.3319, 0.6643]])
logits:tensor([[0.7937, 0.2204]]), confscore:tensor([[0.2063, 0.7796]])
logits:tensor([[0.7106, 0.3012]]), confscore:tensor([[0.2894, 0.6988]])
logits:tensor([[0.7427, 0.2474]]), confscore:tensor([[0.2573, 0.7526]])
logits:tensor([[0.6807, 0.3249]]), confscore:tensor([[0.3193, 0.6751]])
logits:tensor([[0.6931, 0.2939]]), confscore:tensor([[0.3069, 0.7061]])
logits:tensor([[0.7443, 0.2626]]), confscore:tensor([[0.2557, 0.7374]])
logits:tensor([[0.4651, 0.5218]]), confscore:tensor([[0.5349, 0.4782]])
logits:tensor([[0.7106, 0.2806]]), confscore:tensor([[0.2894, 0.7194]])
logits:tensor([[0.2890, 0.6531]]), confscore:tensor([[0.7110, 0.3469]])
logits:tensor([[0.7474, 0.2119]]), confscore:tensor([[0.2526, 0.7881]])
logits:tensor([[0.4898, 0.5244]]), confscore:tensor([[0.5102, 0.4756]])
logits:tensor([[0.6265, 0.3840]]), confscore:tensor([[0.3735, 0.6160]])
logits:tensor([[0.9393, 0.0571]]), confscore:tensor([[0.0607, 0.9429]])
logits:tensor([[0.4836, 0.4837]]), confscore:tensor([[0.5164, 0.5163]])
logits:tensor([[0.7247, 0.2696]]), confscore:tensor([[0.2753, 0.7304]])
logits:tensor([[0.7646, 0.2480]]), confscore:tensor([[0.2354, 0.7520]])
logits:tensor([[0.1600, 0.8382]]), confscore:tensor([[0.8400, 0.1618]])
logits:tensor([[0.6233, 0.3785]]), confscore:tensor([[0.3767, 0.6215]])
logits:tensor([[0.9084, 0.0814]]), confscore:tensor([[0.0916, 0.9186]])
logits:tensor([[0.4373, 0.5519]]), confscore:tensor([[0.5627, 0.4481]])
logits:tensor([[0.7935, 0.1876]]), confscore:tensor([[0.2065, 0.8124]])
logits:tensor([[0.6549, 0.3724]]), confscore:tensor([[0.3451, 0.6276]])
logits:tensor([[0.5969, 0.4117]]), confscore:tensor([[0.4031, 0.5883]])
logits:tensor([[0.2110, 0.7940]]), confscore:tensor([[0.7890, 0.2060]])
logits:tensor([[0.8536, 0.1307]]), confscore:tensor([[0.1464, 0.8693]])
logits:tensor([[0.8764, 0.1440]]), confscore:tensor([[0.1236, 0.8560]])
logits:tensor([[0.9018, 0.0931]]), confscore:tensor([[0.0982, 0.9069]])
logits:tensor([[0.8123, 0.1825]]), confscore:tensor([[0.1877, 0.8175]])
